Age,Exposure
530.45,OK_Tra
650.84,OK_Tra
650.84,OK_Tra
926.54,OK_Tra
926.54,OK_Tra
986.54,OK_Tra
986.54,OK_Tra
1033.67,OK_Tra
1093.95,OK_Tra
1152.81,OK_Tra
1152.81,OK_Tra
1152.81,OK_Tra
1152.81,OK_Tra
1152.81,OK_Tra
1152.81,OK_Tra
1152.81,OK_Tra
1152.81,OK_Tra
1152.81,OK_Tra
1199.27,OK_Tra
1260.38,OK_Tra
1260.38,OK_Tra
1260.38,OK_Tra
1260.38,OK_Tra
1260.38,OK_Tra
1260.38,OK_Tra
1260.38,OK_Tra
1260.38,OK_Tra
1260.38,OK_Tra
1260.38,OK_Tra
1260.38,OK_Tra
1321.86,OK_Tra
1321.86,OK_Tra
1321.86,OK_Tra
1370.35,OK_Tra
1370.35,OK_Tra
1370.35,OK_Tra
1370.35,OK_Tra
1430.59,OK_Tra
1430.59,OK_Tra
1430.59,OK_Tra
1430.59,OK_Tra
1430.59,OK_Tra
1430.59,OK_Tra
1491.36,OK_Tra
1491.36,OK_Tra
1491.36,OK_Tra
1491.36,OK_Tra
1491.36,OK_Tra
1491.36,OK_Tra
1491.36,OK_Tra
1598.38,OK_Tra
1598.38,OK_Tra
1598.38,OK_Tra
1598.38,OK_Tra
1598.38,OK_Tra
1598.38,OK_Tra
1658.61,OK_Tra
1658.61,OK_Tra
1658.61,OK_Tra
1658.61,OK_Tra
1658.61,OK_Tra
1767.34,OK_Tra
360.14,W_Tra
986.54,W_Tra
986.54,W_Tra
1033.67,W_Tra
1093.95,W_Tra
1152.81,W_Tra
1260.38,W_Tra
1321.86,W_Tra
1370.35,W_Tra
1370.35,W_Tra
1491.36,W_Tra
1491.36,W_Tra
1491.36,W_Tra
1491.36,W_Tra
1491.36,W_Tra
1538.84,W_Tra
1538.84,W_Tra
1598.38,W_Tra
1598.38,W_Tra
1598.38,W_Tra
1598.38,W_Tra
1598.38,W_Tra
1598.38,W_Tra
1598.38,W_Tra
1598.38,W_Tra
1598.38,W_Tra
1598.38,W_Tra
1598.38,W_Tra
1598.38,W_Tra
1598.38,W_Tra
1598.38,W_Tra
1598.38,W_Tra
1598.38,W_Tra
1658.61,W_Tra
1658.61,W_Tra
1658.61,W_Tra
1658.61,W_Tra
1658.61,W_Tra
1658.61,W_Tra
1658.61,W_Tra
1658.61,W_Tra
1658.61,W_Tra
1658.61,W_Tra
1706.63,W_Tra
1706.63,W_Tra
1706.63,W_Tra
1706.63,W_Tra
1706.63,W_Tra
1706.63,W_Tra
1706.63,W_Tra
1767.34,W_Tra
1767.34,W_Tra
1824.96,W_Tra
1824.96,W_Tra
1824.96,W_Tra
1931.41,W_Tra
1931.41,W_Tra
1931.41,W_Tra
1990.17,W_Tra
1990.17,W_Tra
1990.17,W_Tra
